epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.147,0.5892,0.67028,1.11339,0.97828,0.98203,0.99325,0.85205,0.55739,0.41236,1.16997,0.000665686,0.000665686,0.000665686
2,291.244,0.61157,0.41737,1.11687,0.9919,0.98618,0.99455,0.88977,0.45907,0.32205,1.05043,0.00128839,0.00128839,0.00128839
